"","Sample","Status","Title","Platform","EGAS ID","ERP ID","ERS ID"
"185","GSM2180340","Private","RHC4076","GPL11154","EGAS00001001945","ERP016958","ERS1312233"
"186","GSM2180341","Private","RHC4079","GPL11154","EGAS00001001945","ERP016958","ERS1312236"
"187","GSM2180342","Private","RHC4080","GPL11154","EGAS00001001945","ERP016958","ERS1312237"
"188","GSM2180343","Private","RHC4083","GPL11154","EGAS00001001945","ERP016958","ERS1312240"
"189","GSM2180344","Private","RHC4085","GPL11154","EGAS00001001945","ERP016958","ERS1312242"
"190","GSM2180345","Private","RHC4087","GPL11154","EGAS00001001945","ERP016958","ERS1312244"
"191","GSM2180346","Private","RHC4089","GPL11154","EGAS00001001945","ERP016958","ERS1312246"
"192","GSM2180347","Private","RHC4099","GPL11154","EGAS00001001945","ERP016958","ERS1312252"
"193","GSM2180348","Private","RHC4100","GPL11154","EGAS00001001945","ERP016958","ERS1312253"
"194","GSM2180349","Private","RHC4104","GPL11154","EGAS00001001945","ERP016958","ERS1312254"
"195","GSM2180350","Private","RHC4107","GPL11154","EGAS00001001945","ERP016958","ERS1312256"
"196","GSM2180351","Private","RHC4108","GPL11154","EGAS00001001945","ERP016958","ERS1312257"
"197","GSM2180352","Private","RHC4110","GPL11154","EGAS00001001945","ERP016958","ERS1312258"
"198","GSM2180353","Private","RHC4111","GPL11154","EGAS00001001945","ERP016958","ERS1312259"
"199","GSM2180354","Private","RHC4112","GPL11154","EGAS00001001945","ERP016958","ERS1312260"
"200","GSM2180355","Private","RHC4114","GPL11154","EGAS00001001945","ERP016958","ERS1312261"
"201","GSM2180356","Private","RHC4115","GPL11154","EGAS00001001945","ERP016958","ERS1312262"
"202","GSM2180357","Private","RHC4117","GPL11154","EGAS00001001945","ERP016958","ERS1312264"
"203","GSM2180358","Private","RHC4951","GPL11154","EGAS00001001945","ERP016958","ERS1312266"
"204","GSM2180359","Private","RHC4956","GPL11154","EGAS00001001945","ERP016958","ERS1312271"
"205","GSM2180360","Private","RHC4961","GPL11154","EGAS00001001945","ERP016958","ERS1312276"
"206","GSM2180361","Private","RHC4963","GPL11154","EGAS00001001945","ERP016958","ERS1312278"
"207","GSM2180362","Private","RHC4968","GPL11154","EGAS00001001945","ERP016958","ERS1312283"
"208","GSM2180363","Private","RHC4970","GPL11154","EGAS00001001945","ERP016958","ERS1312285"
"209","GSM2180364","Private","RHC4971","GPL11154","EGAS00001001945","ERP016958","ERS1312286"
"210","GSM2180365","Private","RHC4975","GPL11154","EGAS00001001945","ERP016958","ERS1312290"
"211","GSM2180366","Private","RHC4980","GPL11154","EGAS00001001945","ERP016958","ERS1312295"
"212","GSM2180367","Private","RHC4981","GPL11154","EGAS00001001945","ERP016958","ERS1312296"
"213","GSM2180368","Private","RHC4984","GPL11154","EGAS00001001945","ERP016958","ERS1312299"
"214","GSM2180369","Private","RHC4986","GPL11154","EGAS00001001945","ERP016958","ERS1312301"
"215","GSM2180370","Private","RHC4990","GPL11154","EGAS00001001945","ERP016958","ERS1312305"
"216","GSM2180371","Private","RHC4992","GPL11154","EGAS00001001945","ERP016958","ERS1312307"
"217","GSM2180372","Private","RHC4993","GPL11154","EGAS00001001945","ERP016958","ERS1312308"
"218","GSM2180373","Private","RHC4995","GPL11154","EGAS00001001945","ERP016958","ERS1312310"
"219","GSM2180374","Private","RHC4996","GPL11154","EGAS00001001945","ERP016958","ERS1312311"
"220","GSM2180375","Private","RHC4999","GPL11154","EGAS00001001945","ERP016958","ERS1312314"
"221","GSM2180376","Private","RHC5002","GPL11154","EGAS00001001945","ERP016958","ERS1312317"
"222","GSM2180377","Private","RHC5003","GPL11154","EGAS00001001945","ERP016958","ERS1312318"
