"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"MUC12","MUC12",NA,NA,NA,NA,2.93333043410726e-08,9.5953751315701e-06
"U2SURP","U2SURP",NA,NA,NA,NA,9.71552731998671e-05,0.00486062116802864
"XRN2","XRN2",NA,NA,NA,NA,0.000704025403474695,0.0188887572761902
"MSI2","MSI2",NA,NA,NA,NA,0.00190478180234266,0.0346899517434663
"MT2A","MT2A",NA,NA,NA,NA,1.0841660902372e-11,1.05690356466681e-08
"CENPN","CENPN",NA,NA,NA,NA,9.64894752542023e-07,0.00014654339054232
"MED21","MED21",NA,NA,NA,NA,0.000208725952867028,0.0084685098471138
"RP11-203M5.8","RP11-203M5.8",NA,NA,NA,NA,0.000285536314368229,0.0104676135935422
"UCHL3","UCHL3",NA,NA,NA,NA,0.00125665506380424,0.0263897563398889
"EBP","EBP",NA,NA,NA,NA,0.00168744843580226,0.032251121228086
"EPRS","EPRS",NA,NA,NA,NA,0.000614594096231436,0.0174237426281612
"EIF3E","EIF3E",NA,NA,NA,NA,0.000871580682830553,0.021206528962805
"YWHAQ","YWHAQ",NA,NA,NA,NA,0.000155153918953932,0.00686569971748037
"PEAK1","PEAK1",NA,NA,NA,NA,0.000562573329925375,0.0164141510295978
"PCBP2","PCBP2",NA,NA,NA,NA,0.00105928371740316,0.0241533726984286
"CKB","CKB",NA,NA,NA,NA,0.000838342741135145,0.0207270494574256
"DLD","DLD",NA,NA,NA,NA,0.00299659785913742,0.0473718676430553
"RPL36AL","RPL36AL",NA,NA,NA,NA,0.000325000905738504,0.0115654088004434
"ATP5G1","ATP5G1",NA,NA,NA,NA,1.15088841976529e-05,0.00107563802308833
"DENND5A","DENND5A",NA,NA,NA,NA,0.000568191864359302,0.0164930778374603
"WTAP","WTAP",NA,NA,NA,NA,1.91565540097471e-08,6.51705967411598e-06
"HSPA8","HSPA8",NA,NA,NA,NA,9.70154034884985e-08,2.48992334371289e-05
"NFIA","NFIA",NA,NA,NA,NA,0.00304239532701656,0.0477498432391536
"YIPF6","YIPF6",NA,NA,NA,NA,0.00210874280176343,0.037209247985473
"PRKD3","PRKD3",NA,NA,NA,NA,0.00233094707485026,0.0397310569518861
"RPS15","RPS15",NA,NA,NA,NA,3.88283796028954e-05,0.00246444304867631
"DGKH","DGKH",NA,NA,NA,NA,0.000641006927970977,0.0178380478752737
"MALL","MALL",NA,NA,NA,NA,3.11160266441846e-08,9.80154839291814e-06
"MYL6","MYL6",NA,NA,NA,NA,9.00208119158918e-09,3.48012275156664e-06
"MICAL1","MICAL1",NA,NA,NA,NA,0.00021105613974004,0.0084685098471138
"CHCHD2","CHCHD2",NA,NA,NA,NA,0.00160580996975201,0.031614749032387
"CTNNB1","CTNNB1",NA,NA,NA,NA,1.53396914504e-07,3.34523271245262e-05
"UTP6","UTP6",NA,NA,NA,NA,0.00226023507653594,0.038932693741162
"SPATS2L","SPATS2L",NA,NA,NA,NA,7.16432944480871e-06,0.000725388356286882
"SNRPE","SNRPE",NA,NA,NA,NA,0.000528612741432011,0.0160115257792591
"CSNK2A2","CSNK2A2",NA,NA,NA,NA,0.00121141552986526,0.0260179017209697
"RPL7L1","RPL7L1",NA,NA,NA,NA,0.000142673786863834,0.00639879569002227
"ZC3H13","ZC3H13",NA,NA,NA,NA,6.6249485941583e-06,0.000681382676721094
"ZZEF1","ZZEF1",NA,NA,NA,NA,0.00322619195700258,0.0491734096672167
"SMG1","SMG1",NA,NA,NA,NA,1.38991917627562e-05,0.00123171962770542
"FAM84A","FAM84A",NA,NA,NA,NA,0.00186397128726157,0.0344632082568688
"G3BP1","G3BP1",NA,NA,NA,NA,0.00053145830099266,0.0160115257792591
"PRPF4B","PRPF4B",NA,NA,NA,NA,1.07365746093713e-06,0.000157438908711556
"SERF2","SERF2",NA,NA,NA,NA,4.86938064367948e-05,0.00283658098455438
"ARHGAP12","ARHGAP12",NA,NA,NA,NA,0.000501211441401139,0.0154449395257851
"NUS1","NUS1",NA,NA,NA,NA,0.000232986456102369,0.00905460284043348
"TRIM13","TRIM13",NA,NA,NA,NA,0.00240769737149238,0.0406298931439339
"HNRNPA1P57","HNRNPA1P57",NA,NA,NA,NA,1.67071575882805e-05,0.00139503288062734
"LARP4B","LARP4B",NA,NA,NA,NA,0.00172821128866529,0.0327110705272491
"IGHG1","IGHG1",NA,NA,NA,NA,6.36933272790685e-09,2.57957975480227e-06
"TMED4","TMED4",NA,NA,NA,NA,0.00182525084603891,0.0339688368611836
"ANKZF1","ANKZF1",NA,NA,NA,NA,0.000636526569049223,0.0178380478752737
"TPP2","TPP2",NA,NA,NA,NA,0.000651476643211968,0.0179314202282129
