"","Score"
"MAP2K6",0.000174094210653995
"LIMD1",0.000173618543411771
"UBN2",0.000173618543411771
"PRLR",0.000173142876169547
"ZNF431",0.000173142876169547
"WNT2B",0.000173142876169547
"SV2C",0.000173142876169547
"ENAH",0.000173142876169547
"FUT9",0.000172667208927323
"DDI2",0.000172667208927323
"DST",0.000172667208927323
"GPRIN3",0.000172667208927323
"PURB",0.000172191541685099
"INTU",0.000172191541685099
"SESTD1",0.000172191541685099
"NCR3LG1",0.000172191541685099
"DLGAP2",0.000171715874442875
"DGKI",0.000171715874442875
"FMNL3",0.000171715874442875
"BRWD1",0.000171715874442875
"TNIK",0.000171715874442875
"EIF4E3",0.000171715874442875
"DDHD1",0.000171715874442875
"MAP7",0.000171715874442875
"CCDC80",0.000171240207200651
"AFF2",0.000171240207200651
"ARL10",0.000171240207200651
"KIAA1551",0.000171240207200651
"FOXK1",0.000171240207200651
"NAA38",0.000170764539958427
"CACUL1",0.000170764539958427
"TGFBR2",0.000170764539958427
"SLC1A2",0.000170288872716203
"PPIP5K2",0.000170288872716203
"SHC3",0.000170288872716203
"PLSCR1",0.000169813205473979
"GPR26",0.000169813205473979
"NT5C1A",0.000169813205473979
"ANKFY1",0.000169337538231755
"DCX",0.000169337538231755
"GNL3L",0.000168861870989531
"GRIN2A",0.000168861870989531
"SUSD1",0.000168861870989531
"ASXL2",0.000168386203747307
"CACNA1E",0.000168386203747307
"FER",0.000167910536505083
"HSD17B12",0.000167910536505083
"MECP2",0.000167910536505083
"STON2",0.000167434869262858
"TFDP2",0.000167434869262858
"CALN1",0.000167434869262858
"SCAI",0.000167434869262858
"ST8SIA3",0.000167434869262858
"TFCP2L1",0.000167434869262858
"PTBP2",0.000166959202020634
"LIPG",0.000166959202020634
"PANK3",0.00016648353477841
"NAA50",0.00016648353477841
"NUDT3",0.00016648353477841
"CAMK4",0.00016648353477841
"MPRIP",0.00016648353477841
"EIF4E",0.00016648353477841
"SLC24A4",0.00016648353477841
"IYD",0.00016648353477841
"ANKRD33B",0.000166007867536186
"IPO9",0.000166007867536186
"CDS2",0.000166007867536186
"MAPK14",0.000166007867536186
"SRSF1",0.000166007867536186
"DBT",0.000166007867536186
"MRRF",0.000166007867536186
"NKD1",0.000165532200293962
"FAXC",0.000165532200293962
"ABL2",0.000165056533051738
"CSRNP3",0.000165056533051738
"ZNF264",0.000165056533051738
"RBM23",0.000165056533051738
"HEBP2",0.000164580865809514
"ABCB11",0.000164580865809514
"GFRA1",0.000164580865809514
"PAX5",0.00016410519856729
"SGCD",0.00016410519856729
"PSD3",0.00016410519856729
"USP6NL",0.00016410519856729
"DBNL",0.00016410519856729
"TMEM154",0.00016410519856729
"KCNQ3",0.00016410519856729
"PLXDC2",0.00016410519856729
"PPARA",0.00016410519856729
"PARVA",0.000163629531325066
"REL",0.000163629531325066
"FAM26E",0.000163629531325066
"SKP1",0.000163629531325066
"ALG14",0.000163629531325066
"PPARGC1B",0.000163629531325066
"SMAD2",0.000163629531325066
"TNR",0.000163153864082842
"RAB3C",0.000163153864082842
"COLEC10",0.000163153864082842
"FAM227A",0.000162678196840618
"FMN1",0.000162678196840618
"ZNF641",0.000162678196840618
"CDC73",0.000162678196840618
"NDUFS1",0.000162678196840618
"KLHL18",0.000162678196840618
